,precision,recall,f1-score,support
BENIGN,0.9998238750569655,0.9989529694095496,0.999388232498058,454619.0
Bot,0.7142857142857143,0.9669211195928753,0.8216216216216217,393.0
DDoS,0.9999218811030388,0.9997656799187691,0.9998437744102484,25606.0
DoS GoldenEye,0.9975704567541303,0.9970859640602234,0.9973281515666748,2059.0
DoS Hulk,0.9975600803230195,0.9996754300551769,0.9986166349645512,46215.0
DoS Slowhttptest,0.9954421148587056,0.9927272727272727,0.9940828402366864,1100.0
DoS slowloris,0.9922547332185886,0.994823123382226,0.993537268418785,1159.0
FTP-Patator,1.0,0.9993702770780857,0.9996850393700787,1588.0
PortScan,0.994018539396217,0.998584282388473,0.9962961800433159,31786.0
SSH-Patator,1.0,0.9991518235793045,0.9995757318625371,1179.0
Web Attack - Brute Force,0.8352941176470589,0.707641196013289,0.7661870503597122,301.0
Web Attack - XSS,0.42857142857142855,0.6461538461538462,0.5153374233128835,130.0
